name,href,category,sub-category
PACER Postsecondary Education,https://www.pacer.org/transition/learning-center/postsecondary/,Education,Education Quick Links; Transitional Programs vs. Higher Education
Understood.org Types of Colleges,https://www.understood.org/en/school-learning/choosing-starting-school/leaving-high-school/types-of-colleges-and-how-they-differ?_ul=1*1lidpcv*domain_userid*YW1wLTk5b2xabFZnUzMwYXAwX2hNUVFwcXc.,Education,Education Quick Links; Transitional Programs vs. Higher Education
Inclusive Postsecondary Education,https://www.pacer.org/transition/learning-center/postsecondary/college-options.asp,Education,Education Quick Links
Think College Search,https://thinkcollege.net/college-search?task=searchform&f%5B0%5D=tc_state_province%3APennsylvania,Education,Education Quick Links
Office of Vocational Rehabiliation (OVR) Transition Programs,https://www.dli.pa.gov/Individuals/Disability-Services/ovr/Pages/Transition-from-School-to-Work.aspx,Education; Employment,Education Quick Links; Vocational & Trade School; Vocational Training Programs
"Career Studies, Penn State Harrisburg",http://harrisburg.psu.edu/career-studies-program,Education,Vocational & Trade School
UPMC Vocational Training Center and Supported Employment Program,https://www.upmc.com/services/behavioral-health/autism/adult/vocational-training,Education; Employment,Vocational & Trade School; Vocational Training Programs
Browse Trade Schools in Your State,https://www.trade-schools.net/locations/pennsylvania-schools-directory#featured-schools,Education,Vocational & Trade School
Bucks County Community College (AACHIEVE program),https://www.bucks.edu/resources/campusresources/accessibility/aachieve!/,Education,Community College
Leigh Carbon Community College (SEED program),https://www.lccc.edu/student-experience/disability-services/seed-program,Education,Community College
Edinboro University Autism Support Initiative,https://www.edinboro.edu/life-at-the-boro/support-and-services/accessibility-services/basis.php,Education,Four Year College
Indiana University of Pennsylvania Labrynth Center for Autism Support,https://www.iup.edu/labyrinth/,Education,Four Year College
Kutztown University – My Place (Autism Services),https://www.kutztown.edu/about-ku/administrative-offices/disability-services-(dso)/accommodations/autism-services-(my-place).html,Education,Four Year College
Slippery Rock University - ATLAS Program (Autism Transitions for Learning Achievement and Support),https://www.sru.edu/academics/academic-services/services-for-students-with-disabilities/specialized-services,Education,Four Year College
West Chester University – D-CAP (Dub-C Autism Program),https://www.wcupa.edu/viceProvost/dcap/,Education,Four Year College
"Compass, Duquense University",https://thinkcollege.net/programs/compass-0,Education,Four Year College
CLASS PA Community Skill Building,https://www.classcommunity.org/services/adult/skill-building,Education,Transitional Programs
